Date;CET Time;Raw Time;Latitude;Longitude;Altitude;Sats;Sat Speed;Precision
61120;15:55:37;14553700;48.229.695;16.370.404;194.50;5;27.410;Feb.19
61120;15:55:42;14554200;48.229.721;16.370.499;195.00;5;31.484;Feb.18
61120;15:55:47;14554700;48.229.714;16.370.549;195.70;5;25.558;Feb.18
61120;15:55:52;14555200;48.229.782;16.370.616;195.10;5;28.706;Feb.18
61120;15:55:57;14555700;48.229.847;16.370.702;192.90;5;37.225;Feb.18
61120;15:56:02;14560200;48.229.871;16.370.793;190.00;5;17.964;Feb.18
61120;15:56:07;14560700;48.229.829;16.370.859;183.20;5;36.484;Feb.18
61120;15:56:12;14561200;48.229.856;16.370.958;177.60;5;18.335;Feb.17
61120;15:56:17;14561700;48.229.865;16.371.053;175.50;5;0.6112;Feb.17
61120;15:56:22;14562200;48.229.880;16.371.113;176.00;5;12.223;05.Jun
61120;15:56:27;14562700;48.229.897;16.371.187;177.30;5;0.0926;Feb.17
61120;15:56:32;14563200;48.229.887;16.371.247;181.90;5;10.556;Feb.17
61120;15:56:37;14563700;48.229.840;16.371.235;184.60;5;50.189;Feb.17
61120;15:56:42;14564200;48.229.792;16.371.291;188.10;4;13.334;Apr.97
61120;15:56:47;14564700;48.229.716;16.371.288;191.40;5;18.335;Feb.16
61120;15:56:52;14565200;48.229.584;16.371.263;190.70;5;48.708;Feb.16
61120;15:56:57;14565700;48.229.524;16.371.259;191.90;5;21.483;Feb.16
61120;15:57:02;14570200;48.229.459;16.371.227;192.00;5;0.7408;Apr.88
61120;15:57:07;14570700;48.229.382;16.371.171;191.40;5;15.927;Feb.15
61120;15:57:12;14571200;48.229.347;16.371.106;192.80;5;0.6482;Feb.15
61120;15:57:17;14571700;48.229.313;16.371.065;193.20;5;16.853;Feb.15
61120;15:57:22;14572200;48.229.295;16.371.037;193.10;4;0.8149;Apr.79
61120;15:57:27;14572700;48.229.285;16.371.026;191.80;5;0.9630;Apr.77
61120;15:57:32;14573200;48.229.281;16.371.038;192.60;5;15.372;Feb.15
61120;15:57:37;14573700;48.229.324;16.370.986;193.50;5;20.372;Feb.14
61120;15:57:47;14574700;48.229.300;16.370.987;193.20;5;0.7593;Mar.14
61120;15:57:52;14575200;48.229.268;16.370.996;195.20;4;0.9630;Apr.67
61120;15:57:57;14575700;48.229.243;16.371.003;195.50;3;12.038;Mar.50
61120;15:58:07;14580700;48.229.237;16.371.029;195.50;4;0.5926;Apr.61
61120;15:58:12;14581200;48.229.253;16.371.118;195.50;4;33.892;Apr.59
61120;15:58:17;14581700;48.229.260;16.371.118;195.50;4;0.7038;Apr.57
61120;15:58:22;14582200;48.229.280;16.371.097;195.50;4;0.6667;Apr.56
61120;15:58:27;14582700;48.229.354;16.371.187;195.40;4;43.152;Apr.54
61120;15:58:53;14585300;48.229.167;16.370.899;195.40;5;0.7408;Apr.44
61120;15:58:58;14585800;48.229.120;16.370.900;195.50;4;0.3704;Apr.42
61120;15:59:03;14590300;48.229.163;16.370.869;195.40;4;30.188;Apr.41
61120;15:59:08;14590800;48.229.162;16.370.899;195.40;5;20.742;Apr.39
61120;15:59:13;14591300;48.229.108;16.370.917;195.30;4;0.8519;Apr.37
61120;15:59:18;14591800;48.229.111;16.370.892;195.40;3;10.742;Mar.41
61120;15:59:23;14592300;48.229.075;16.370.949;195.40;4;26.854;Mar.40
61120;15:59:28;14592800;48.229.049;16.370.877;195.40;4;14.075;Apr.32
61120;15:59:33;14593300;48.229.031;16.370.824;195.40;4;19.076;Apr.30
61120;15:59:38;14593800;48.229.044;16.370.836;195.40;5;0.4445;Apr.29
61120;15:59:43;14594300;48.229.046;16.370.850;195.40;4;0.5371;Apr.27
61120;15:59:48;14594800;48.229.122;16.370.841;195.70;5;17.038;02.Nov
61120;15:59:53;14595300;48.229.255;16.370.832;196.20;5;54.264;02.Oct
61120;15:59:58;14595800;48.229.314;16.370.902;196.30;5;43.707;02.Oct
61120;16:00:03;15000300;48.229.222;16.371.055;196.10;5;99.267;02.Oct
61120;16:00:08;15000800;48.229.252;16.371.187;195.10;5;34.632;Apr.19
61120;16:00:13;15001300;48.229.246;16.371.263;195.30;4;42.226;03.Jan
61120;16:00:18;15001800;48.229.245;16.371.348;195.00;5;34.818;02.Oct
61120;16:00:23;15002300;48.229.295;16.371.448;194.90;5;28.706;Apr.14
61120;16:00:28;15002800;48.229.325;16.371.483;194.80;5;0.6482;Apr.13
61120;16:00:33;15003300;48.229.356;16.371.515;194.40;5;0.9816;02.Sep
61120;16:00:38;15003800;48.229.353;16.371.587;193.50;5;16.298;02.Sep
61120;16:00:43;15004300;48.229.304;16.371.674;192.40;5;21.298;02.Sep
61120;16:00:48;15004800;48.229.293;16.371.706;191.30;5;0.2037;02.Sep
61120;16:00:53;15005300;48.229.350;16.371.678;190.50;5;36.299;02.Sep
61120;16:00:58;15005800;48.229.398;16.371.692;189.80;5;34.632;04.Apr
61120;16:01:03;15010300;48.229.449;16.371.734;188.70;5;44.263;02.Sep
61120;16:01:08;15010800;48.229.424;16.371.804;186.10;5;26.854;02.Aug
61120;16:01:13;15011300;48.229.448;16.371.789;183.20;5;13.890;02.Aug
61120;16:01:18;15011800;48.229.534;16.371.746;180.90;5;13.890;Mar.98
61120;16:01:23;15012300;48.229.572;16.371.663;179.50;5;30.002;Mar.97
61120;16:01:28;15012800;48.229.597;16.371.566;179.90;4;13.334;Mar.95
61120;16:01:33;15013300;48.229.633;16.371.500;177.80;5;0.9445;Mar.94
61120;16:01:38;15013800;48.229.675;16.371.378;182.30;5;13.149;02.Aug
61120;16:01:43;15014300;48.229.681;16.371.349;181.70;5;30.373;02.Aug
61120;16:01:48;15014800;48.229.687;16.371.375;181.70;5;30.188;02.Aug
61120;16:01:53;15015300;48.229.710;16.371.358;182.40;5;14.075;02.Jul
61120;16:01:58;15015800;48.229.702;16.371.335;181.50;5;10.742;02.Jul
61120;16:02:03;15020300;48.229.668;16.371.342;178.10;4;0.4815;Feb.21
61120;16:02:08;15020800;48.229.623;16.371.313;172.60;5;10.186;02.Jul
61120;16:02:13;15021300;48.229.559;16.371.287;163.40;5;21.668;Mar.83
61120;16:02:18;15021800;48.229.530;16.371.315;155.10;5;29.262;02.Jul
61120;16:02:23;15022300;48.229.490;16.371.309;146.70;5;0.5926;02.Jul
61120;16:02:28;15022800;48.229.454;16.371.275;137.60;5;0.3704;02.Jul
61120;16:02:33;15023300;48.229.406;16.371.234;128.40;5;0.6297;02.Jul
61120;16:02:33;15023300;48.229.406;16.371.234;128.40;5;0.6297;02.Jul
61120;16:02:33;15023300;48.229.406;16.371.234;128.40;5;0.6297;02.Jul
61120;16:02:33;15023300;48.229.406;16.371.234;128.40;5;0.6297;02.Jul
61120;16:02:33;15023300;48.229.406;16.371.234;128.40;5;0.6297;02.Jul
61120;16:02:33;15023300;48.229.406;16.371.234;128.40;5;0.6297;02.Jul
61120;16:02:33;15023300;48.229.406;16.371.234;128.40;5;0.6297;02.Jul
61120;16:02:33;15023300;48.229.406;16.371.234;128.40;5;0.6297;02.Jul
61120;16:02:33;15023300;48.229.406;16.371.234;128.40;5;0.6297;02.Jul
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:03:16;15031600;48.230.010;16.371.512;157.20;5;31.299;02.Jun
61120;16:04:50;15045000;48.230.598;16.373.118;188.80;5;0.8334;02.Apr
61120;16:04:50;15045000;48.230.598;16.373.118;188.80;5;0.8334;02.Apr
61120;16:04:50;15045000;48.230.598;16.373.118;188.80;5;0.8334;02.Apr
61120;16:04:50;15045000;48.230.598;16.373.118;188.80;5;0.8334;02.Apr
61120;16:04:50;15045000;48.230.598;16.373.118;188.80;5;0.8334;02.Apr
61120;16:04:50;15045000;48.230.598;16.373.118;188.80;5;0.8334;02.Apr
61120;16:04:50;15045000;48.230.598;16.373.118;188.80;5;0.8334;02.Apr
61120;16:04:50;15045000;48.230.598;16.373.118;188.80;5;0.8334;02.Apr
61120;16:04:50;15045000;48.230.598;16.373.118;188.80;5;0.8334;02.Apr
61120;16:04:50;15045000;48.230.598;16.373.118;188.80;5;0.8334;02.Apr
61120;16:04:50;15045000;48.230.598;16.373.118;188.80;5;0.8334;02.Apr
61120;16:04:50;15045000;48.230.598;16.373.118;188.80;5;0.8334;02.Apr
61120;16:04:50;15045000;48.230.598;16.373.118;188.80;5;0.8334;02.Apr
61120;16:04:50;15045000;48.230.598;16.373.118;188.80;5;0.8334;02.Apr
61120;16:04:50;15045000;48.230.598;16.373.118;188.80;5;0.8334;02.Apr
61120;16:04:50;15045000;48.230.598;16.373.118;188.80;5;0.8334;02.Apr
61120;16:06:13;15061300;48.229.241;16.373.863;181.10;4;113.342;Mar.31
61120;16:06:18;15061800;48.229.260;16.373.772;180.80;3;68.339;Jun.80
61120;16:06:18;15061800;48.229.260;16.373.772;180.80;3;68.339;Jun.80
61120;16:06:18;15061800;48.229.260;16.373.772;180.80;3;68.339;Jun.80
61120;16:06:18;15061800;48.229.260;16.373.772;180.80;3;68.339;Jun.80
61120;16:06:18;15061800;48.229.260;16.373.772;180.80;3;68.339;Jun.80
61120;16:06:40;15064000;48.230.204;16.373.359;181.30;5;68.339;02.Feb
61120;16:06:40;15064000;48.230.204;16.373.359;181.30;5;68.339;02.Feb
61120;16:06:40;15064000;48.230.204;16.373.359;181.30;5;68.339;02.Feb
61120;16:06:40;15064000;48.230.204;16.373.359;181.30;5;68.339;02.Feb
61120;16:06:40;15064000;48.230.204;16.373.359;181.30;5;68.339;02.Feb
61120;16:06:40;15064000;48.230.204;16.373.359;181.30;5;68.339;02.Feb
61120;16:06:40;15064000;48.230.204;16.373.359;181.30;5;68.339;02.Feb
61120;16:07:18;15071800;48.230.475;16.373.299;182.40;5;36.299;02.Feb
61120;16:07:18;15071800;48.230.475;16.373.299;182.40;5;36.299;02.Feb
61120;16:07:18;15071800;48.230.475;16.373.299;182.40;5;36.299;02.Feb
61120;16:07:18;15071800;48.230.475;16.373.299;182.40;5;36.299;02.Feb
61120;16:07:18;15071800;48.230.475;16.373.299;182.40;5;36.299;02.Feb
61120;16:07:18;15071800;48.230.475;16.373.299;182.40;5;36.299;02.Feb
61120;16:07:18;15071800;48.230.475;16.373.299;182.40;5;36.299;02.Feb
61120;16:07:52;15075200;48.230.606;16.373.506;182.90;4;0.8704;Mar.14
61120;16:07:52;15075200;48.230.606;16.373.506;182.90;4;0.8704;Mar.14
61120;16:07:52;15075200;48.230.606;16.373.506;182.90;4;0.8704;Mar.14
61120;16:07:52;15075200;48.230.606;16.373.506;182.90;4;0.8704;Mar.14
61120;16:07:52;15075200;48.230.606;16.373.506;182.90;4;0.8704;Mar.14
61120;16:08:14;15081400;48.230.642;16.373.630;182.90;4;0.2222;Mar.14
61120;16:08:19;15081900;48.230.644;16.373.654;182.90;4;12.038;Mar.14
61120;16:08:24;15082400;48.230.629;16.373.717;182.90;4;25.187;Mar.14
61120;16:08:29;15082900;48.230.669;16.373.799;182.90;4;48.708;Mar.14
61120;16:08:34;15083400;48.230.687;16.373.891;182.90;4;31.854;Mar.14
61120;16:08:39;15083900;48.230.687;16.373.946;182.90;4;33.336;Mar.14
61120;16:08:39;15083900;48.230.687;16.373.946;182.90;4;33.336;Mar.14
61120;16:08:49;15084900;48.230.756;16.374.073;182.90;4;40.929;Mar.14
61120;16:08:54;15085400;48.230.750;16.374.101;182.90;4;0.5556;Mar.14
61120;16:09:02;15090200;48.230.742;16.374.137;174.70;5;0.9260;Feb.86
61120;16:09:04;15090400;48.230.740;16.374.144;174.70;5;0.9260;Feb.86
61120;16:09:09;15090900;48.230.815;16.374.139;174.70;5;12.223;Feb.86
61120;16:09:14;15091400;48.230.813;16.374.146;174.70;5;0.3519;Feb.86
61120;16:09:19;15091900;48.230.802;16.374.163;174.70;5;0.8519;Feb.86
61120;16:09:26;15092600;48.230.808;16.374.236;171.40;6;36.484;Jan.56
61120;16:09:29;15092900;48.230.839;16.374.279;171.40;6;39.077;Jan.56
61120;16:09:34;15093400;48.230.877;16.374.340;171.40;6;21.854;Jan.56
61120;16:09:39;15093900;48.230.904;16.374.387;171.40;6;35.003;Jan.56
61120;16:09:44;15094400;48.230.901;16.374.467;171.40;6;22.965;Jan.56
61120;16:09:49;15094900;48.230.928;16.374.558;171.40;6;44.263;Jan.56
61120;16:09:54;15095400;48.230.997;16.374.552;171.40;6;56.671;Jan.56
61120;16:09:59;15095900;48.231.030;16.374.619;171.40;6;60.746;Jan.56
61120;16:10:04;15100400;48.231.064;16.374.702;171.40;6;31.114;Jan.56
61120;16:10:09;15100900;48.231.073;16.374.785;171.40;6;23.706;Jan.56
61120;16:10:14;15101400;48.231.049;16.374.883;171.40;6;35.744;Jan.56
61120;16:10:19;15101900;48.230.990;16.374.963;171.40;6;36.299;Jan.56
61120;16:10:27;15102700;48.230.933;16.375.113;169.70;6;34.447;Jan.56
61120;16:10:29;15102900;48.230.924;16.375.133;169.70;6;22.780;Jan.56
61120;16:10:34;15103400;48.230.870;16.375.189;169.70;6;35.558;Jan.56
61120;16:10:39;15103900;48.230.820;16.375.223;169.70;6;25.372;Jan.56
61120;16:10:44;15104400;48.230.724;16.375.346;169.70;6;41.114;Jan.56
61120;16:10:49;15104900;48.230.663;16.375.414;169.70;6;23.520;Jan.56
61120;16:10:57;15105700;48.230.563;16.375.514;178.10;6;32.780;02.Jan
61120;16:10:59;15105900;48.230.543;16.375.549;178.10;6;34.632;02.Jan
61120;16:11:04;15110400;48.230.555;16.375.551;178.10;6;15.186;02.Jan
61120;16:11:09;15110900;48.230.580;16.375.554;178.10;6;0.7593;02.Jan
61120;16:11:14;15111400;48.230.527;16.375.524;178.10;6;43.337;02.Jan
61120;16:11:19;15111900;48.230.482;16.375.448;178.10;6;57.597;02.Jan
61120;16:11:24;15112400;48.230.521;16.375.409;178.10;6;36.670;02.Jan
61120;16:11:29;15112900;48.230.661;16.375.441;178.10;6;73.339;02.Jan
